Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Alaskan King,,,Winter,,,,,DVT-850-ALK-WIN,0.0,,0,deny,manual,6685,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,62320,,true,5770,,true,4920,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Alaskan King,,,Polar,,,,,DVT-850-ALK-POL,0.0,,0,deny,manual,9130,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,85110,,true,7880,,true,6720,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Full,,,Summer,,,,,DVT-850-FUL-SUM,0.0,,0,deny,manual,1755,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,16360,,true,1520,,true,1300,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Full,,,All Year,,,,,DVT-850-FUL-ALY,0.0,,0,deny,manual,2100,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,19580,,true,1820,,true,1550,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Full,,,Winter,,,,,DVT-850-FUL-WIN,0.0,,0,deny,manual,2705,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,25220,,true,2340,,true,2000,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Full,,,Polar,,,,,DVT-850-FUL-POL,0.0,,0,deny,manual,3570,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,33280,,true,3080,,true,2630,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Twin,,,Summer,,,,,DVT-850-TWN-SUM,0.0,,0,deny,manual,1535,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,14310,,true,1330,,true,1130,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Twin,,,All Year,,,,,DVT-850-TWN-ALY,0.0,,0,deny,manual,1740,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,16220,,true,1510,,true,1290,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Twin,,,Winter,,,,,DVT-850-TWN-WIN,0.0,,0,deny,manual,2170,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,20230,,true,1880,,true,1600,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Twin,,,Polar,,,,,DVT-850-TWN-POL,0.0,,0,deny,manual,2730,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,25450,,true,2360,,true,2010,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Queen,,,Summer,,,,,DVT-850-QUN-SUM,0.0,,0,deny,manual,2070,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,19300,,true,1790,,true,1530,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Queen,,,All Year,,,,,DVT-850-QUN-ALY,0.0,,0,deny,manual,2350,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,21910,,true,2030,,true,1730,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Queen,,,Winter,,,,,DVT-850-QUN-WIN,0.0,,0,deny,manual,2990,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,27880,,true,2580,,true,2200,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Queen,,,Polar,,,,,DVT-850-QUN-POL,0.0,,0,deny,manual,4205,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,39200,,true,3630,,true,3100,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,XL Twin,,,Summer,,,,,DVT-850-XLT-SUM,0.0,,0,deny,manual,1695,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,15800,,true,1470,,true,1250,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,XL Twin,,,All Year,,,,,DVT-850-XLT-ALY,0.0,,0,deny,manual,1975,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,18410,,true,1710,,true,1460,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,XL Twin,,,Winter,,,,,DVT-850-XLT-WIN,0.0,,0,deny,manual,2440,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,22750,,true,2110,,true,1800,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,XL Twin,,,Polar,,,,,DVT-850-XLT-POL,0.0,,0,deny,manual,3525,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,32860,,true,3040,,true,2600,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,California King,,,Summer,,,,,DVT-850-CAK-SUM,0.0,,0,deny,manual,2335,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,21770,,true,2020,,true,1720,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,California King,,,All Year,,,,,DVT-850-CAK-ALY,0.0,,0,deny,manual,2660,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,24800,,true,2300,,true,1960,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,California King,,,Winter,,,,,DVT-850-CAK-WIN,0.0,,0,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,31700,,true,2940,,true,2510,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,California King,,,Polar,,,,,DVT-850-CAK-POL,0.0,,0,deny,manual,4870,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,45400,,true,4200,,true,3590,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,King,,,Summer,,,,,DVT-850-KNG-SUM,0.0,,0,deny,manual,1860,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,17340,,true,1610,,true,1370,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,King,,,All Year,,,,,DVT-850-KNG-ALY,0.0,,0,deny,manual,2145,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,20000,,true,1850,,true,1580,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,King,,,Winter,,,,,DVT-850-KNG-WIN,0.0,,0,deny,manual,2785,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,25960,,true,2410,,true,2050,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,King,,,Polar,,,,,DVT-850-KNG-POL,0.0,,0,deny,manual,3880,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,36170,,true,3350,,true,2860,,true,,,
